ncalls,tottime,percall,cumtime,percall_cum,filename:lineno(function)
486,486,1.0,0.00019150000000000002,3.940329218106996e-07,~:0(<built-in method builtins.delattr>)
4,4,1.0,6.08e-05,1.52e-05,~:0(<built-in method builtins.dir>)
33,33,1.0,0.0017819,5.39969696969697e-05,~:0(<built-in method builtins.eval>)
1,253,253.0,0.0017020000000000002,0.0017020000000000002,~:0(<built-in method builtins.exec>)
11434,11434,1.0,0.0022323,1.9523351408081163e-07,~:0(<built-in method builtins.getattr>)
386,386,1.0,3.8900000000000004e-05,1.0077720207253886e-07,~:0(<built-in method builtins.globals>)
6807,6807,1.0,0.0013321000000000001,1.9569560746290585e-07,~:0(<built-in method builtins.hasattr>)
1146,1289,1.12478184991274,0.00022370000000000002,1.9520069808027923e-07,~:0(<built-in method builtins.hash>)
28,28,1.0,5.4e-06,1.9285714285714284e-07,~:0(<built-in method builtins.id>)
32663,32663,1.0,0.0038267,1.1715702782965436e-07,~:0(<built-in method builtins.isinstance>)
1002,1002,1.0,0.00015360000000000002,1.5329341317365272e-07,~:0(<built-in method builtins.issubclass>)
1052,1052,1.0,0.0001226,1.1653992395437262e-07,~:0(<built-in method builtins.iter>)
2009012,2009787,1.0003857617575207,0.1487734,7.40530171049252e-08,~:0(<built-in method builtins.len>)
95,95,1.0,0.00021730000000000002,2.2873684210526317e-06,~:0(<built-in method builtins.locals>)
1443,1443,1.0,0.0039722,2.752737352737353e-06,~:0(<built-in method builtins.max>)
1689,1689,1.0,0.0002189,1.29603315571344e-07,~:0(<built-in method builtins.min>)
6,6,1.0,2.11e-05,3.5166666666666667e-06,~:0(<built-in method builtins.next>)
1228,1228,1.0,0.0001363,1.1099348534201955e-07,~:0(<built-in method builtins.ord>)
59,59,1.0,0.0061627,0.00010445254237288136,~:0(<built-in method builtins.print>)
8,8,1.0,3.8e-06,4.75e-07,~:0(<built-in method builtins.repr>)
341,341,1.0,0.0007044,2.0656891495601174e-06,~:0(<built-in method builtins.round>)
2914,2914,1.0,0.0008048,2.7618393960192175e-07,~:0(<built-in method builtins.setattr>)
32,32,1.0,0.0002453,7.665625e-06,~:0(<built-in method builtins.sorted>)
34424,34424,1.0,0.1659369,4.820384034394608e-06,~:0(<built-in method builtins.sum>)
1,1,1.0,4.0000000000000003e-07,4.0000000000000003e-07,~:0(<built-in method builtins.vars>)
18,18,1.0,2.8000000000000003e-06,1.5555555555555556e-07,~:0(<method 'get' of '_contextvars.ContextVar' objects>)
2,2,1.0,1.7e-06,8.5e-07,~:0(<method 'set' of '_contextvars.ContextVar' objects>)
2,2,1.0,5.1e-06,2.55e-06,~:0(<method 'reset' of '_contextvars.ContextVar' objects>)
2363,2363,1.0,0.0003152,1.3338975878121034e-07,~:0(<built-in method _imp.acquire_lock>)
2363,2363,1.0,0.0003164,1.3389758781210325e-07,~:0(<built-in method _imp.release_lock>)
308,308,1.0,0.00017680000000000001,5.740259740259741e-07,~:0(<built-in method _imp.find_frozen>)
1,1,1.0,9.960000000000001e-05,9.960000000000001e-05,~:0(<built-in method _imp.get_frozen_object>)
15,15,1.0,0.0001953,1.302e-05,~:0(<built-in method _imp.create_builtin>)
323,323,1.0,0.0005341,1.653560371517028e-06,~:0(<built-in method _imp.is_builtin>)
40,42,1.05,0.06547080000000001,0.0016367700000000003,~:0(<built-in method _imp.create_dynamic>)
42,42,1.0,0.0031329,7.459285714285715e-05,~:0(<built-in method _imp.exec_dynamic>)
15,15,1.0,0.0003032,2.0213333333333332e-05,~:0(<built-in method _imp.exec_builtin>)
248,248,1.0,0.0002989,1.205241935483871e-06,~:0(<built-in method _imp._fix_co_filename>)
94,94,1.0,0.00039630000000000004,4.215957446808511e-06,~:0(<built-in method _imp.source_hash>)
248,248,1.0,0.026664300000000002,0.00010751733870967743,~:0(<built-in method marshal.loads>)
6,6,1.0,1.1e-06,1.8333333333333333e-07,~:0(<built-in method sys.getrecursionlimit>)
15,15,1.0,5e-06,3.3333333333333335e-07,~:0(<built-in method sys._getframemodulename>)
173,173,1.0,5.6800000000000005e-05,3.2832369942196533e-07,~:0(<built-in method sys.intern>)
1,1,1.0,2.16e-05,2.16e-05,~:0(<method 'disable' of '_lsprof.Profiler' objects>)
4,4,1.0,2.71e-05,6.775e-06,~:0(<built-in method _ssl.txt2obj>)
30,30,1.0,7.6e-06,2.533333333333333e-07,~:0(<built-in method _tkinter._flatten>)
2,2,1.0,0.1775741,0.08878705,~:0(<built-in method _tkinter.create>)
114,118,1.0350877192982457,0.0980433,0.000860028947368421,~:0(<method 'call' of '_tkinter.tkapp' objects>)
4,4,1.0,1.56e-05,3.9e-06,~:0(<method 'getvar' of '_tkinter.tkapp' objects>)
25,25,1.0,0.0002068,8.272e-06,~:0(<method 'splitlist' of '_tkinter.tkapp' objects>)
8,8,1.0,1.45e-05,1.8125e-06,~:0(<method 'createcommand' of '_tkinter.tkapp' objects>)
8,8,1.0,1.66e-05,2.075e-06,~:0(<method 'deletecommand' of '_tkinter.tkapp' objects>)
678,678,1.0,0.00047280000000000005,6.973451327433629e-07,~:0(<method 'set_clip' of 'pygame.surface.Surface' objects>)
679,679,1.0,0.318284,0.0004687540500736377,~:0(<method 'fill' of 'pygame.surface.Surface' objects>)
14034514,14034514,1.0,14.9043223,1.0619763748142615e-06,~:0(<method 'blit' of 'pygame.surface.Surface' objects>)
14032480,14032480,1.0,3.9285272000000004,2.7995957948986926e-07,~:0(<method 'get_rect' of 'pygame.surface.Surface' objects>)
1,1,1.0,2.08e-05,2.08e-05,~:0(<built-in method _hashlib.openssl_md5>)
1,1,1.0,5.3e-06,5.3e-06,~:0(<built-in method _hashlib.openssl_sha1>)
1,1,1.0,3.1000000000000004e-06,3.1000000000000004e-06,~:0(<built-in method _hashlib.openssl_sha224>)
1,1,1.0,4.3e-06,4.3e-06,~:0(<built-in method _hashlib.openssl_sha256>)
1,1,1.0,2.7e-06,2.7e-06,~:0(<built-in method _hashlib.openssl_sha384>)
1,1,1.0,3.9e-06,3.9e-06,~:0(<built-in method _hashlib.openssl_sha512>)
1,1,1.0,7.4e-06,7.4e-06,~:0(<built-in method _hashlib.openssl_sha3_224>)
1,1,1.0,3.3e-06,3.3e-06,~:0(<built-in method _hashlib.openssl_sha3_256>)
1,1,1.0,2.8000000000000003e-06,2.8000000000000003e-06,~:0(<built-in method _hashlib.openssl_sha3_384>)
1,1,1.0,2.5e-06,2.5e-06,~:0(<built-in method _hashlib.openssl_sha3_512>)
1,1,1.0,3e-06,3e-06,~:0(<built-in method _hashlib.openssl_shake_128>)
1,1,1.0,2.6e-06,2.6e-06,~:0(<built-in method _hashlib.openssl_shake_256>)
2,2,1.0,2.2000000000000003e-05,1.1000000000000001e-05,~:0(<built-in method _ctypes.POINTER>)
1,1,1.0,8.400000000000001e-06,8.400000000000001e-06,~:0(<built-in method _ctypes.LoadLibrary>)
38,38,1.0,7.2000000000000005e-06,1.8947368421052632e-07,~:0(<built-in method _ctypes.sizeof>)
14034175,14034175,1.0,16.320516100000003,1.1629123977718678e-06,~:0(<method 'render' of 'pygame.font.Font' objects>)
8497,8497,1.0,0.0353517,4.160491938331176e-06,~:0(<method 'size' of 'pygame.font.Font' objects>)
766502,766502,1.0,0.0990327,1.2920083704934887e-07,~:0(<method 'collidepoint' of 'pygame.rect.Rect' objects>)
2,2,1.0,2.6e-06,1.3e-06,~:0(<built-in method pygame.time.get_ticks>)
340,340,1.0,0.0025613000000000003,7.533235294117648e-06,~:0(<method 'tick' of 'pygame.time.Clock' objects>)
141,141,1.0,0.0001399,9.921985815602838e-07,~:0(<built-in method pygame.key.get_mods>)
340,340,1.0,0.2292182,0.0006741711764705882,~:0(<built-in method pygame.event.get>)
1,1,1.0,0.0363949,0.0363949,~:0(<built-in method pygame.display.set_mode>)
339,339,1.0,0.1009433,0.0002977678466076696,~:0(<built-in method pygame.display.flip>)
1,1,1.0,7.25e-05,7.25e-05,~:0(<built-in method pygame.display.set_caption>)
1,1,1.0,0.6061146000000001,0.6061146000000001,~:0(<built-in method pygame.base.init>)
3,3,1.0,7.2000000000000005e-06,2.4000000000000003e-06,~:0(<built-in method pygame.base.get_sdl_version>)
2,2,1.0,0.0844317,0.04221585,~:0(<built-in method winsound.PlaySound>)
